"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB07248","DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)","HMDB0007248","9543729",NA,"C00165","4371","CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB07219","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","HMDB0007219","9543722",NA,"C00165","4362","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB07218","DG(18:1(9Z)/18:1(9Z)/0:0)","HMDB0007218","9543716","52333","C00165","4355","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"HMDB07216","DG(18:1(9Z)/18:0/0:0)","HMDB0007216","53478090",NA,NA,NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"HMDB07158","DG(18:0/18:0/0:0)","HMDB0007158","9543705","41847","C00165","4256","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB07199","DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB0007199","53478074",NA,NA,NA,"CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB42063","TG(14:0/14:0/16:0)","HMDB0042063","97045147",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB42093","TG(14:0/15:0/16:0)","HMDB0042093","131753239",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC","1"
"HMDB10419","TG(16:1(9Z)/14:0/16:1(9Z))[iso3]","HMDB10419","53480484",NA,NA,NA,"CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\CCCCCC","1"
"HMDB10412","TG(16:0/14:0/16:1(9Z))[iso6]","HMDB10412","53480480",NA,NA,NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB10411","TG(16:0/14:0/16:0)[iso3]","HMDB10411","545606",NA,NA,NA,"CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB05432","TG(16:1(9Z)/16:1(9Z)/16:1(9Z))[iso]","HMDB05432","9543989",NA,NA,"4719","CCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\CCCCCC","1"
"HMDB05376","TG(16:0/16:1(9Z)/16:1(9Z))[iso3]","HMDB05376","9543987",NA,"C00422","4717","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"HMDB05359","TG(16:0/16:0/16:1(9Z))[iso3]","HMDB05359","9543986",NA,"C00422","4716","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB05356","TG(16:0/16:0/16:0)[iso]","HMDB05356","11147",NA,NA,"3857","CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB10471","TG(18:2(9Z,12Z)/14:0/18:3(9Z,12Z,15Z))[iso6]","HMDB10471","53480527",NA,NA,NA,"CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"HMDB05435","TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3]","HMDB05435","25240359",NA,"C00422",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"HMDB05433","TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3]","HMDB05433","25240357",NA,"C00422","4751","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"HMDB05377","TG(16:0/16:1(9Z)/18:1(9Z))[iso6]","HMDB05377","9544011",NA,"C00422",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"HMDB05360","TG(16:0/16:0/18:1(9Z))[iso3]","HMDB05360","25240460",NA,"C00422","4705","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB05357","TG(16:0/16:0/18:0)[iso3]","HMDB05357","3246953",NA,"C00422","4703","CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB11701","TG(15:0/16:0/20:3(8Z,11Z,14Z))[iso6]","HMDB11701","53481033",NA,NA,NA,"CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB05362","TG(16:0/16:0/18:2(9Z,12Z))[iso3]","HMDB05362","25240356",NA,"C00422","4743","CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB42104","TG(14:0/15:0/22:1(13Z))","HMDB0042104","131753250",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCC","1"
"HMDB31106","Glycerol triheptadecanoate","HMDB0031106","3625612",NA,NA,NA,"CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC","1"
